Date	Angle[°]	Geometry	Orb	Pass	VV_norm[dB]	VH_norm[dB]	CR
2014-10-12 07:00:00	41.26892852783203	budrio-half	95	DESCENDING	-7.386558393477579	-16.62285657791275	0.11922578252453028
2014-10-24 07:00:00	41.27150344848633	budrio-half	95	DESCENDING	-11.499540346798604	-22.16026697126233	0.08588698107165042
2014-11-17 06:00:00	41.1076545715332	budrio-half	95	DESCENDING	-7.037598347820496	-16.727358939161952	0.10740486185854847
2014-11-29 06:00:00	41.10691833496094	budrio-half	95	DESCENDING	-7.616293563891444	-16.64146115031967	0.12516509731403166
2014-12-23 06:00:00	41.10728454589844	budrio-half	95	DESCENDING	-8.727765344365544	-17.384112918041335	0.1362590142094088
2015-01-04 06:00:00	41.104305267333984	budrio-half	95	DESCENDING	-10.14171753642164	-19.021570727954263	0.1294239591054753
2015-01-28 06:00:00	41.102664947509766	budrio-half	95	DESCENDING	-12.168140606505622	-22.20665205239147	0.0991171612980251
2015-02-09 06:00:00	41.081932067871094	budrio-half	95	DESCENDING	-10.375460377492328	-19.25376581071202	0.1294700920213026
2015-02-21 06:00:00	41.081878662109375	budrio-half	95	DESCENDING	-10.79199936744775	-19.425680767342318	0.13697201981966972
2015-03-05 06:00:00	41.08088302612305	budrio-half	95	DESCENDING	-9.01158063529731	-15.79259811357205	0.20984481952255243
2015-03-17 06:00:00	41.08292770385742	budrio-half	95	DESCENDING	-9.138275420884677	-16.69036833819064	0.175707665353731
2015-03-22 06:00:00	31.273954391479492	budrio-half	168	DESCENDING	-11.178857124151895	-16.625425238361096	0.28532720921354515
2015-03-29 07:00:00	41.082706451416016	budrio-half	95	DESCENDING	-11.809201552301145	-18.20124748275926	0.2295067203543253
2015-03-30 19:00:00	37.32086944580078	budrio-half	117	ASCENDING	-10.814340940508615	-18.22751326748669	0.18141899939993802
2015-04-03 07:00:00	31.273521423339844	budrio-half	168	DESCENDING	-14.202163040443178	-18.7822491372811	0.3483304094810647
2015-04-10 07:00:00	41.08203125	budrio-half	95	DESCENDING	-13.600852830517349	-19.24614690895523	0.27256531676300116
2015-04-11 19:00:00	37.30653381347656	budrio-half	117	ASCENDING	-14.104603374553005	-19.22814979576056	0.3073585918912735
2015-04-15 07:00:00	31.278066635131836	budrio-half	168	DESCENDING	-16.252975159558844	-20.27939182470342	0.39569296904971835
2015-04-22 07:00:00	41.08441925048828	budrio-half	95	DESCENDING	-16.167039843735843	-20.315078516255344	0.384765507666086
2015-04-23 19:00:00	37.30908203125	budrio-half	117	ASCENDING	-15.042202721204273	-19.676933017963776	0.34397507207364886
2015-04-27 07:00:00	31.274438858032227	budrio-half	168	DESCENDING	-14.77292501184637	-18.710113645571486	0.4039067737751113
2015-05-05 19:00:00	37.29066467285156	budrio-half	117	ASCENDING	-13.371988232421922	-19.481068569059644	0.244958191116279
2015-05-09 07:00:00	31.273265838623047	budrio-half	168	DESCENDING	-16.001733441878823	-19.78390135016333	0.41858456419553136
2015-05-16 07:00:00	41.1126708984375	budrio-half	95	DESCENDING	-13.177096833000906	-19.953360360146622	0.21007464934044673
2015-05-17 19:00:00	37.257835388183594	budrio-half	117	ASCENDING	-12.011173625111688	-16.918737117892938	0.3230305900715373
2015-05-21 07:00:00	31.119691848754883	budrio-half	168	DESCENDING	-13.28156908416288	-19.160847905544344	0.2582689029946441
2015-05-29 19:00:00	37.335792541503906	budrio-half	117	ASCENDING	-12.076938598180263	-16.000142278726038	0.4052095123628589
2015-06-02 07:00:00	31.294401168823242	budrio-half	168	DESCENDING	-12.336257085555957	-17.561564476026653	0.30024049053083957
2015-06-09 07:00:00	41.2984619140625	budrio-half	95	DESCENDING	-12.355007175496402	-20.485453373557622	0.15379966170281573
2015-06-10 19:00:00	37.25495529174805	budrio-half	117	ASCENDING	-11.219187379637312	-19.496291444216272	0.14869268150662923
2015-06-14 07:00:00	31.260406494140625	budrio-half	168	DESCENDING	-13.961622392903731	-19.244902025103855	0.2962593303067819
2015-06-22 19:00:00	37.254669189453125	budrio-half	117	ASCENDING	-9.220360018542385	-14.94408881932221	0.2676869009976674
2015-06-26 07:00:00	31.263368606567383	budrio-half	168	DESCENDING	-10.67773539316426	-16.12048466744787	0.2855782135864644
2015-07-03 07:00:00	41.30299377441406	budrio-half	95	DESCENDING	-12.314457148176787	-19.33645424805802	0.19851818230748772
2015-07-04 19:00:00	37.2550048828125	budrio-half	117	ASCENDING	-9.976938755887089	-19.810008419564383	0.103918539313267
2015-07-15 07:00:00	41.305564880371094	budrio-half	95	DESCENDING	-9.46680327001734	-20.665153172591012	0.0758865850561729
2015-07-16 19:00:00	37.338043212890625	budrio-half	117	ASCENDING	-10.495152543239126	-17.04515241293017	0.22130947760089825
2015-07-20 07:00:00	31.358829498291016	budrio-half	168	DESCENDING	-10.008674659665749	-18.693995272807147	0.13535301641021197
2015-07-28 19:00:00	37.258262634277344	budrio-half	117	ASCENDING	-10.199113999291193	-16.281720172141675	0.24645599270542626
2015-08-01 07:00:00	31.355815887451172	budrio-half	168	DESCENDING	-9.583140430814327	-19.27150958282412	0.10743927889555015
2015-08-08 07:00:00	41.302791595458984	budrio-half	95	DESCENDING	-9.422586506886704	-18.649424246445044	0.11948578084223663
2015-08-09 19:00:00	37.28124237060547	budrio-half	117	ASCENDING	-8.274856334004925	-18.918140879927215	0.08623261284518507
2015-08-13 07:00:00	31.35924530029297	budrio-half	168	DESCENDING	-9.056845147719057	-19.096085458615427	0.09910052812123318
2015-08-20 07:00:00	41.30284118652344	budrio-half	95	DESCENDING	-9.733860916205924	-20.401522031673707	0.08574995256116254
2015-08-21 19:00:00	37.282806396484375	budrio-half	117	ASCENDING	-11.405531769879891	-24.18252190197422	0.052759538351164
2015-08-25 07:00:00	31.359365463256836	budrio-half	168	DESCENDING	-11.603905759115866	-23.317817411916522	0.06739207596644987
2015-09-02 19:00:00	37.28250503540039	budrio-half	117	ASCENDING	-12.79634676344638	-20.319806602664492	0.17686993494424288
2015-09-06 07:00:00	31.360448837280273	budrio-half	168	DESCENDING	-11.359109241064667	-20.55927979360317	0.120221722120955
2015-09-13 07:00:00	41.290470123291016	budrio-half	95	DESCENDING	-11.024825108416058	-22.661757879489315	0.06859725273241106
2015-09-14 19:00:00	37.282291412353516	budrio-half	117	ASCENDING	-9.738812609448715	-22.171694594516712	0.057109952834480227
2015-09-18 07:00:00	31.360382080078125	budrio-half	168	DESCENDING	-10.542909138218837	-19.596479516012405	0.12434919044741834
2015-09-26 19:00:00	37.2834358215332	budrio-half	117	ASCENDING	-6.406338726603725	-15.593968476992652	0.12056937925099238
2015-09-30 07:00:00	31.358999252319336	budrio-half	168	DESCENDING	-10.723471447226867	-20.768533519902128	0.09896777185402501
2015-10-08 19:00:00	37.28238296508789	budrio-half	117	ASCENDING	-9.2796904972562	-16.728617068359213	0.17993155900570557
2015-10-12 07:00:00	31.356201171875	budrio-half	168	DESCENDING	-6.886641391631281	-17.8274626667827	0.0805226154031718
2015-10-20 19:00:00	37.28777313232422	budrio-half	117	ASCENDING	-6.56669079504745	-15.731158495070012	0.12121412477011634
2015-10-24 07:00:00	31.355993270874023	budrio-half	168	DESCENDING	-8.53476457565202	-18.632158024141006	0.0977823915885142
2015-10-31 06:00:00	41.29746627807617	budrio-half	95	DESCENDING	-4.82827869390328	-16.678977813064975	0.06530254213706914
2015-11-01 18:00:00	37.28520202636719	budrio-half	117	ASCENDING	-6.79769611422233	-15.186366313141113	0.14492155325333092
2015-11-05 06:00:00	31.352630615234375	budrio-half	168	DESCENDING	-7.835954725466143	-19.547569160670868	0.0674277326973579
2015-11-12 06:00:00	41.10589599609375	budrio-half	95	DESCENDING	-7.470010363967798	-19.82116092508243	0.058194902363620724
2015-11-17 06:00:00	31.268505096435547	budrio-half	168	DESCENDING	-9.827643152498204	-20.595908393496423	0.08378638941789099
2015-11-24 06:00:00	41.10519790649414	budrio-half	95	DESCENDING	-5.714342315324908	-17.3175069653804	0.06913270258977484
2015-11-25 18:00:00	37.347164154052734	budrio-half	117	ASCENDING	-6.463856000911795	-17.34657477380191	0.08160713339550622
2015-11-29 06:00:00	31.267940521240234	budrio-half	168	DESCENDING	-12.285509694916964	-20.88897751139552	0.1379282475645455
2015-12-06 06:00:00	41.128963470458984	budrio-half	95	DESCENDING	-9.69383626970412	-19.020832886218447	0.11676168087003198
2015-12-07 18:00:00	37.34638595581055	budrio-half	117	ASCENDING	-9.905217569245726	-20.61373358104781	0.08494706903582132
2015-12-18 06:00:00	41.10320281982422	budrio-half	95	DESCENDING	-9.939633873581556	-20.92026761812354	0.07978782483304604
2015-12-19 18:00:00	37.343780517578125	budrio-half	117	ASCENDING	-13.259112651659134	-20.079492727676147	0.20795146888791544
2015-12-23 06:00:00	31.266965866088867	budrio-half	168	DESCENDING	-11.13368157112509	-20.015368329813974	0.12936932856269226
2015-12-30 06:00:00	41.129459381103516	budrio-half	95	DESCENDING	-10.174258554909432	-20.081909914511517	0.10214917514190786
2016-01-04 06:00:00	31.268430709838867	budrio-half	168	DESCENDING	-6.327573891077117	-17.268145581108946	0.08052724309818729
2016-01-11 06:00:00	41.10552215576172	budrio-half	95	DESCENDING	-8.570240080906094	-15.520146159135832	0.2018410013923427
2016-01-12 18:00:00	37.344215393066406	budrio-half	117	ASCENDING	-8.601679296353765	-18.820653704154424	0.09508293067520192
2016-01-16 06:00:00	31.269123077392578	budrio-half	168	DESCENDING	-9.263120682734254	-20.022799171727776	0.08395221345841163
2016-01-23 06:00:00	41.132118225097656	budrio-half	95	DESCENDING	-12.464534859081201	-22.533253258366027	0.09843015297669853
2016-01-24 18:00:00	37.34513473510742	budrio-half	117	ASCENDING	-10.729790544446864	-22.00383249682723	0.0745754366265136
2016-01-28 06:00:00	31.268159866333008	budrio-half	168	DESCENDING	-11.871945586540187	-19.96013287726272	0.15530350987111843
2016-01-28 06:00:00	31.268159866333008	budrio-half	168	DESCENDING	-12.206447954602174	-19.960768648518943	0.16771346459362818
2016-02-04 06:00:00	41.10490036010742	budrio-half	95	DESCENDING	-8.538938770128151	-17.225569181876565	0.13531220114119502
2016-02-04 06:00:00	41.10490036010742	budrio-half	95	DESCENDING	-8.396593771649462	-17.200013960709583	0.13172189836293965
2016-02-05 18:00:00	37.34554672241211	budrio-half	117	ASCENDING	-6.436044291066194	-16.344302165151035	0.10213491048261682
2016-02-09 06:00:00	31.269874572753906	budrio-half	168	DESCENDING	-8.349979160891154	-18.016939507823658	0.1079702147829863
2016-02-16 06:00:00	41.13261413574219	budrio-half	95	DESCENDING	-5.863837562150436	-15.892240293512046	0.09934813684799694
2016-02-17 18:00:00	37.31593704223633	budrio-half	117	ASCENDING	-6.02583533285193	-16.78996791950384	0.08386615671865692
2016-02-21 06:00:00	31.272653579711914	budrio-half	168	DESCENDING	-7.663003466699648	-16.190971793724234	0.14034701083522014
2016-02-28 06:00:00	41.1081657409668	budrio-half	95	DESCENDING	-5.912423664539286	-17.07923133398886	0.0764397456088255
2016-02-29 18:00:00	37.34745788574219	budrio-half	117	ASCENDING	-5.821182847650189	-16.512254048575922	0.0852889720153916
2016-03-04 06:00:00	31.274126052856445	budrio-half	168	DESCENDING	-7.075925280967693	-18.129015291634968	0.07846771371838981
2016-03-11 06:00:00	41.13619613647461	budrio-half	95	DESCENDING	-6.940335280908986	-16.778835979702922	0.10378866603301477
2016-03-12 18:00:00	37.349456787109375	budrio-half	117	ASCENDING	-9.087693368447445	-19.48540296204218	0.09124919475609239
2016-03-16 06:00:00	31.276288986206055	budrio-half	168	DESCENDING	-8.048248110820065	-19.116416920417272	0.07819574452331352
2016-03-23 06:00:00	41.12293243408203	budrio-half	95	DESCENDING	-8.378594366593124	-19.739424342505867	0.0730999369563025
2016-03-24 18:00:00	37.35050964355469	budrio-half	117	ASCENDING	-10.203226138025677	-17.302293212028356	0.19502634989583892
2016-03-28 07:00:00	31.276437759399414	budrio-half	168	DESCENDING	-11.686942405888047	-22.095872272764783	0.09101375094921792
2016-04-04 07:00:00	41.13943862915039	budrio-half	95	DESCENDING	-12.942373265958032	-23.199614756363538	0.0942488046865959
2016-04-05 19:00:00	37.35203170776367	budrio-half	117	ASCENDING	-12.422242815681184	-21.48784348259236	0.12400521033035798
2016-04-09 07:00:00	31.277080535888672	budrio-half	168	DESCENDING	-14.085264211872037	-23.846898830029172	0.10564198140779672
2016-04-16 07:00:00	41.122188568115234	budrio-half	95	DESCENDING	-18.510224158670535	-21.712535663652975	0.47837541225738134
2016-04-17 19:00:00	37.35430145263672	budrio-half	117	ASCENDING	-13.926747338426628	-22.478899226720845	0.13956766450552732
2016-04-21 07:00:00	31.275115966796875	budrio-half	168	DESCENDING	-13.477658550219324	-24.29371040671854	0.08286951828957748
2016-04-28 07:00:00	41.137351989746094	budrio-half	95	DESCENDING	-12.139820471065665	-22.529625793307776	0.09141542186210917
2016-04-29 19:00:00	37.353511810302734	budrio-half	117	ASCENDING	-12.259638041096295	-23.371983361784828	0.07740436780713289
2016-05-03 07:00:00	31.277978897094727	budrio-half	168	DESCENDING	-8.98329186551026	-20.74073820749436	0.06671989678815295
2016-05-10 07:00:00	41.12208557128906	budrio-half	95	DESCENDING	-10.609969381589812	-21.40030115238431	0.0833617499604983
2016-05-11 19:00:00	37.35429382324219	budrio-half	117	ASCENDING	-10.630129724362247	-20.81754757076625	0.09577633525381603
2016-05-15 07:00:00	31.27922821044922	budrio-half	168	DESCENDING	-10.889960890830766	-20.158180551331892	0.11835266292102056
2016-05-22 07:00:00	41.13834762573242	budrio-half	95	DESCENDING	-12.866771808582588	-22.684111864909625	0.10429560179513443
2016-05-23 19:00:00	37.35343933105469	budrio-half	117	ASCENDING	-13.63191114229887	-22.86496246469902	0.11931495114722336
2016-05-27 07:00:00	31.275922775268555	budrio-half	168	DESCENDING	-14.997831002248958	-24.701168141227285	0.10706962610806488
2016-06-03 07:00:00	41.304054260253906	budrio-half	95	DESCENDING	-11.932265415957309	-18.297232950611214	0.23094217227571492
2016-06-04 19:00:00	37.389739990234375	budrio-half	117	ASCENDING	-7.193867247615918	-15.838347240858708	0.1366318663401714
2016-06-08 07:00:00	31.280988693237305	budrio-half	168	DESCENDING	-8.964818138536605	-15.220452960840044	0.2368298924561039
2016-06-15 07:00:00	41.306175231933594	budrio-half	95	DESCENDING	-12.071005773231578	-18.325676236630514	0.23688248680950655
2016-06-28 19:00:00	37.390403747558594	budrio-half	117	ASCENDING	-10.209562566792158	-18.694783161407496	0.14173527169019726
2016-07-09 07:00:00	41.30496597290039	budrio-half	95	DESCENDING	-10.868841928920192	-16.439855237967482	0.2772673100683352
2016-07-14 07:00:00	31.278194427490234	budrio-half	168	DESCENDING	-11.954057966205692	-17.042372463512407	0.3098621645090569
2016-07-21 07:00:00	41.30306625366211	budrio-half	95	DESCENDING	-9.834720350391613	-17.2775672034535	0.18018362281280675
2016-07-22 19:00:00	37.38986587524414	budrio-half	117	ASCENDING	-8.198608656971974	-18.95491808841442	0.08401736500556181
2016-07-26 07:00:00	31.27860450744629	budrio-half	168	DESCENDING	-11.70163998415488	-18.265207377942208	0.22061917723481994
2016-08-02 07:00:00	41.30436325073242	budrio-half	95	DESCENDING	-8.655149770647991	-18.00836210751787	0.11605898452252594
2016-08-03 19:00:00	37.291500091552734	budrio-half	117	ASCENDING	-9.688109638148218	-18.013821749087896	0.1470377298454661
2016-08-07 07:00:00	31.247089385986328	budrio-half	168	DESCENDING	-11.308064014391391	-16.280211850939793	0.31826231418514717
2016-08-14 07:00:00	41.30308151245117	budrio-half	95	DESCENDING	-11.098510503354518	-15.965456711896056	0.32606589738690855
2016-08-15 19:00:00	37.390647888183594	budrio-half	117	ASCENDING	-10.215970300497291	-14.94812372661609	0.33634475326222457
2016-08-19 07:00:00	31.278240203857422	budrio-half	168	DESCENDING	-10.539346493146713	-15.435650735550233	0.32386914574271713
2016-08-26 07:00:00	41.303096771240234	budrio-half	95	DESCENDING	-11.326277032670358	-15.209483425761626	0.40895861438775777
2016-08-27 19:00:00	37.28865051269531	budrio-half	117	ASCENDING	-9.460439236030995	-17.776650866368275	0.14735973673500924
2016-08-31 07:00:00	31.27853775024414	budrio-half	168	DESCENDING	-10.758256704042859	-16.584607149341693	0.261435738332685
2016-09-07 07:00:00	41.3028450012207	budrio-half	95	DESCENDING	-12.590828311955256	-16.73487500792569	0.3851193415478434
2016-09-08 19:00:00	37.38750076293945	budrio-half	117	ASCENDING	-12.761758508758083	-18.410450496414967	0.27235214574055694
2016-09-12 07:00:00	31.27766990661621	budrio-half	168	DESCENDING	-14.466774898849796	-20.28475820093252	0.2619399074866025
2016-09-19 07:00:00	41.301639556884766	budrio-half	95	DESCENDING	-8.8387309287403	-15.66731729406724	0.20755890146673678
2016-09-20 19:00:00	37.38764572143555	budrio-half	117	ASCENDING	-8.254548637286751	-18.07636862687892	0.10418807189306438
2016-09-24 07:00:00	31.275075912475586	budrio-half	168	DESCENDING	-10.223353634986648	-20.708987784513038	0.08942039522363024
2016-09-26 19:00:00	37.38721466064453	budrio-half	117	ASCENDING	-10.663402207402157	-19.727829492371335	0.12403871873048046
2016-10-02 19:00:00	37.385643005371094	budrio-half	117	ASCENDING	-9.281008710656485	-16.015055778490293	0.21212667919584804
2016-10-06 07:00:00	31.274051666259766	budrio-half	168	DESCENDING	-7.438044861941675	-16.029055804417858	0.1383244352490221
2016-10-07 07:00:00	41.28691864013672	budrio-half	95	DESCENDING	-9.01897324909733	-17.95445785435716	0.12777666226810006
2016-10-08 19:00:00	37.36037063598633	budrio-half	117	ASCENDING	-9.946528676284249	-21.081197060097303	0.07700752430929801
2016-10-12 07:00:00	31.349546432495117	budrio-half	168	DESCENDING	-8.042422569230743	-17.407896316384033	0.11573177799909984
2016-10-13 07:00:00	41.299049377441406	budrio-half	95	DESCENDING	-8.966881487868664	-21.305679750519367	0.058360657185360744
