Date	NDVI	Geometry
2017-04-24 12:00:00	0.1286365958559871	budrio-half
2017-05-04 12:00:00		budrio-half
2017-05-14 12:00:00	0.10611322131662566	budrio-half
2017-05-24 12:00:00		budrio-half
2017-06-03 12:00:00	0.17340764661332703	budrio-half
2017-06-13 12:00:00	0.2320443173693288	budrio-half
2017-06-23 12:00:00	0.4281206954514947	budrio-half
2017-07-03 12:00:00	0.44525060555604046	budrio-half
2017-07-13 12:00:00	0.5937048716836406	budrio-half
2017-07-23 12:00:00	0.5641692387197396	budrio-half
2017-08-02 12:00:00	0.6145173491524966	budrio-half
2017-08-12 12:00:00	0.538494373084618	budrio-half
2017-08-22 12:00:00	0.5003132028826935	budrio-half
2017-09-01 12:00:00	0.5293675094971304	budrio-half
2017-09-11 12:00:00		budrio-half
2017-09-21 12:00:00	0.2009831002692949	budrio-half
2017-10-01 12:00:00		budrio-half
2017-10-11 12:00:00	0.11909454018808643	budrio-half
2017-10-21 12:00:00		budrio-half
2017-10-31 11:00:00		budrio-half
2017-11-10 11:00:00		budrio-half
2017-11-20 11:00:00	0.17786916899531582	budrio-half
2017-11-30 11:00:00	0.21751649193529193	budrio-half
2017-12-10 11:00:00		budrio-half
2017-12-20 11:00:00		budrio-half
2017-12-25 11:00:00	0.2263069689316503	budrio-half
2017-12-30 11:00:00	0.040823978506248484	budrio-half
2018-01-04 11:00:00	0.208880978385476	budrio-half
2018-01-09 11:00:00		budrio-half
2018-01-14 11:00:00	0.2628414339548782	budrio-half
2018-01-19 11:00:00		budrio-half
2018-01-29 11:00:00		budrio-half
2018-02-03 11:00:00		budrio-half
2018-02-08 11:00:00		budrio-half
2018-02-13 11:00:00		budrio-half
2018-02-18 11:00:00		budrio-half
2018-02-23 11:00:00		budrio-half
2018-02-28 11:00:00	0.21873104244282165	budrio-half
2018-03-10 11:00:00		budrio-half
2018-03-15 11:00:00		budrio-half
2018-03-20 11:00:00		budrio-half
2018-03-25 12:00:00		budrio-half
