Date	Angle[°]	Geometry	Orb	Pass	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2014-10-12 07:00:00	41.30544662475586	sanlorenzo2	95	DESCENDING	-9.318103198940541	-15.406313503466265	0.0841613750594981	0.0217376518011435	-9.318103198940541	-15.406313503466265
2014-10-13 19:00:00	35.611549377441406	sanlorenzo2	117	ASCENDING	-8.112510322389635	-14.005921510814385	0.10156673659511016	0.02710521271727048	-8.548162243250527	-13.859550844269137
2014-10-18 19:00:00	45.17488098144531	sanlorenzo2	15	ASCENDING	-10.374290635287558	-16.554831654300294	0.0828210533755765	0.01985837350432961	-9.613588597493669	-15.718152652533359
2014-10-24 07:00:00	41.307315826416016	sanlorenzo2	95	DESCENDING	-11.001062353677536	-17.217328820144907	0.08119382096888765	0.018641178532120495	-11.001062353677536	-17.217328820144907
2014-10-25 19:00:00	35.614376068115234	sanlorenzo2	117	ASCENDING	-10.61660730723895	-16.138976057840296	0.06847763266647972	0.018456058377863863	-11.031107252616666	-16.367598345800914
2014-10-30 18:00:00	45.178680419921875	sanlorenzo2	15	ASCENDING	-11.914559053260156	-17.59011681787587	0.05300011145000212	0.016331661504409428	-11.127224982084066	-16.97204078070087
2014-11-06 18:00:00	35.61689376831055	sanlorenzo2	117	ASCENDING	-8.42743601774417	-13.448393986650649	0.11158442534376616	0.03497101024460767	-8.860427777825562	-13.204009467718922
2014-11-11 18:00:00	45.17926788330078	sanlorenzo2	15	ASCENDING	-9.950358582189805	-16.133001037205972	0.08886509100267372	0.019123424175321722	-9.196986547698032	-15.207251481067345
2014-11-17 06:00:00	41.871559143066406	sanlorenzo2	95	DESCENDING	-9.739142109769537	-15.451181474232161	0.11302869340157981	0.02527871631664347	-9.739142109769537	-15.451181474232161
2014-11-29 06:00:00	41.871002197265625	sanlorenzo2	95	DESCENDING	-9.322366690512375	-15.133554673882818	0.11733082116990892	0.03247496526679036	-9.322366690512375	-15.133554673882818
2014-11-30 18:00:00	35.61570739746094	sanlorenzo2	117	ASCENDING	-9.372862170912526	-14.771396195032354	0.09856024139633134	0.024250354166831044	-9.797867966019732	-14.759596683188501
2014-12-05 18:00:00	45.177467346191406	sanlorenzo2	15	ASCENDING	-10.143257397800994	-15.775360827502453	0.09007743570429379	0.01998174518026151	-9.38655004354495	-14.774094676662079
2014-12-12 18:00:00	35.6147346496582	sanlorenzo2	117	ASCENDING	-10.716983445502375	-16.073542106875024	0.08217193505132443	0.028119112648225576	-11.130635518921261	-16.29066104597301
2014-12-23 06:00:00	41.87123107910156	sanlorenzo2	95	DESCENDING	-10.85879453376145	-16.875446169554078	0.11167920705939485	0.018086996612180623	-10.85879453376145	-16.875446169554078
2014-12-29 18:00:00	45.17854690551758	sanlorenzo2	15	ASCENDING	-12.657521562583351	-19.175203983308993	0.06163477047458505	0.014458866969250927	-11.857341287382598	-18.891822932299522
2015-01-04 06:00:00	41.864341735839844	sanlorenzo2	95	DESCENDING	-11.432966605924204	-16.93540908556272	0.12609404552526993	0.02047736835068896	-11.432966605924204	-16.93540908556272
2015-01-05 18:00:00	35.61792755126953	sanlorenzo2	117	ASCENDING	-11.707838072845751	-17.164874087958086	0.0689010992970104	0.02287897788680176	-12.11312044935922	-17.57385019475189
2015-01-17 18:00:00	35.6161003112793	sanlorenzo2	117	ASCENDING	-10.78049178358356	-16.182527534587894	0.0648310543135187	0.020622832619054843	-11.193607405412033	-16.41880621228381
2015-01-28 06:00:00	41.86669921875	sanlorenzo2	95	DESCENDING	-12.865278560944137	-20.63154021388479	0.060751585286809545	0.011552975991197393	-12.865278560944137	-20.63154021388479
2015-01-29 18:00:00	35.627681732177734	sanlorenzo2	117	ASCENDING	-6.884402480857121	-13.665539262340953	0.14327768113149655	0.035383285678658886	-7.3304281640411	-13.459329082927002
2015-02-03 18:00:00	45.182029724121094	sanlorenzo2	15	ASCENDING	-11.226773358784198	-17.65819891866199	0.08712449905756121	0.016746279697540258	-10.451331456116758	-17.054498581623648
2015-02-09 06:00:00	41.8535041809082	sanlorenzo2	95	DESCENDING	-11.50054256537518	-19.47840118074699	0.08788125860088622	0.023040052080420044	-11.50054256537518	-19.47840118074699
2015-02-10 18:00:00	35.62700271606445	sanlorenzo2	117	ASCENDING	-10.932725622628197	-16.504296680506688	0.09026893412978886	0.023555749850590262	-11.344555333227728	-16.797142670494335
2015-02-15 18:00:00	45.18019104003906	sanlorenzo2	15	ASCENDING	-10.915169727767843	-16.869208009127238	0.07368819936673726	0.018103315914017787	-10.14511561219414	-16.098910334535343
2015-02-21 06:00:00	41.85350799560547	sanlorenzo2	95	DESCENDING	-11.891943160077417	-18.645242867609976	0.11061159012108879	0.0301630751980529	-11.891943160077417	-18.645242867609976
2015-02-22 18:00:00	35.62801742553711	sanlorenzo2	117	ASCENDING	-9.782757835610475	-15.388314831328604	0.10075029088285249	0.023598731346564518	-10.204301263603783	-15.484970184099918
2015-02-27 18:00:00	45.175445556640625	sanlorenzo2	15	ASCENDING	-11.437392026972974	-18.031043226315983	0.08152509555204573	0.01970805230918901	-10.65830841917371	-17.506069866010208
2015-03-05 06:00:00	41.852508544921875	sanlorenzo2	95	DESCENDING	-9.787438151925073	-16.04175957019444	0.09249599343265372	0.026699483854438575	-9.787438151925073	-16.04175957019444
2015-03-06 18:00:00	35.62632369995117	sanlorenzo2	117	ASCENDING	-9.84262401503624	-16.240825825745723	0.09425634762824016	0.028050317496981714	-10.263661756561673	-16.487353396736186
2015-03-11 18:00:00	45.176795959472656	sanlorenzo2	15	ASCENDING	-11.692230164278328	-18.227099956500265	0.07706722049185899	0.023034559447905865	-10.908740273976234	-17.743524448645562
2015-03-17 06:00:00	41.85456085205078	sanlorenzo2	95	DESCENDING	-9.030048200753113	-14.820999031056857	0.12137367914655649	0.03078672327492164	-9.030048200753113	-14.820999031056857
