Field name;Date;Parameter name;Parameter value
Budrio_campo_safe_half;04/01/2019;TERRASCOPE_S2_LAI_V2;0.147096774
Budrio_campo_safe_half;14/01/2019;TERRASCOPE_S2_LAI_V2;0.103225806
Budrio_campo_safe_half;24/01/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;29/01/2019;TERRASCOPE_S2_LAI_V2;0.175483871
Budrio_campo_safe_half;03/02/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;08/02/2019;TERRASCOPE_S2_LAI_V2;0.144516129
Budrio_campo_safe_half;13/02/2019;TERRASCOPE_S2_LAI_V2;0.118709677
Budrio_campo_safe_half;18/02/2019;TERRASCOPE_S2_LAI_V2;0.144516129
Budrio_campo_safe_half;23/02/2019;TERRASCOPE_S2_LAI_V2;0.157419355
Budrio_campo_safe_half;28/02/2019;TERRASCOPE_S2_LAI_V2;0.144516129
Budrio_campo_safe_half;15/03/2019;TERRASCOPE_S2_LAI_V2;0.121290323
Budrio_campo_safe_half;20/03/2019;TERRASCOPE_S2_LAI_V2;0.212903226
Budrio_campo_safe_half;25/03/2019;TERRASCOPE_S2_LAI_V2;0.153548387
Budrio_campo_safe_half;30/03/2019;TERRASCOPE_S2_LAI_V2;0.169032258
Budrio_campo_safe_half;09/04/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;19/04/2019;TERRASCOPE_S2_LAI_V2;0.2
Budrio_campo_safe_half;04/05/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;09/05/2019;TERRASCOPE_S2_LAI_V2;1.446451613
Budrio_campo_safe_half;19/05/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;24/05/2019;TERRASCOPE_S2_LAI_V2;3.414193548
Budrio_campo_safe_half;03/06/2019;TERRASCOPE_S2_LAI_V2;3.516129032
Budrio_campo_safe_half;13/06/2019;TERRASCOPE_S2_LAI_V2;3.647741935
Budrio_campo_safe_half;18/06/2019;TERRASCOPE_S2_LAI_V2;2.428387097
Budrio_campo_safe_half;23/06/2019;TERRASCOPE_S2_LAI_V2;1.776774194
Budrio_campo_safe_half;28/06/2019;TERRASCOPE_S2_LAI_V2;1.072258065
Budrio_campo_safe_half;03/07/2019;TERRASCOPE_S2_LAI_V2;0.690322581
Budrio_campo_safe_half;08/07/2019;TERRASCOPE_S2_LAI_V2;0.207741935
Budrio_campo_safe_half;13/07/2019;TERRASCOPE_S2_LAI_V2;0.140645161
Budrio_campo_safe_half;23/07/2019;TERRASCOPE_S2_LAI_V2;0.145806452
Budrio_campo_safe_half;12/08/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;17/08/2019;TERRASCOPE_S2_LAI_V2;0.198709677
Budrio_campo_safe_half;22/08/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;27/08/2019;TERRASCOPE_S2_LAI_V2;0.224516129
Budrio_campo_safe_half;01/09/2019;TERRASCOPE_S2_LAI_V2;0.129032258
Budrio_campo_safe_half;11/09/2019;TERRASCOPE_S2_LAI_V2;0.12516129
Budrio_campo_safe_half;16/09/2019;TERRASCOPE_S2_LAI_V2;0.143225806
Budrio_campo_safe_half;21/09/2019;TERRASCOPE_S2_LAI_V2;0.135483871
Budrio_campo_safe_half;26/09/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;01/10/2019;TERRASCOPE_S2_LAI_V2;0.234666667
Budrio_campo_safe_half;06/10/2019;TERRASCOPE_S2_LAI_V2;0.387096774
Budrio_campo_safe_half;11/10/2019;TERRASCOPE_S2_LAI_V2;0.215483871
Budrio_campo_safe_half;16/10/2019;TERRASCOPE_S2_LAI_V2;0.184516129
Budrio_campo_safe_half;21/10/2019;TERRASCOPE_S2_LAI_V2;0.144516129
Budrio_campo_safe_half;26/10/2019;TERRASCOPE_S2_LAI_V2;0.131612903
Budrio_campo_safe_half;10/11/2019;TERRASCOPE_S2_LAI_V2;0.2
Budrio_campo_safe_half;30/11/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;05/12/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;10/12/2019;TERRASCOPE_S2_LAI_V2;0.096774194
Budrio_campo_safe_half;15/12/2019;TERRASCOPE_S2_LAI_V2;0.112258065
Budrio_campo_safe_half;25/12/2019;TERRASCOPE_S2_LAI_V2;0.145806452
Budrio_campo_safe_half;30/12/2019;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;04/01/2020;TERRASCOPE_S2_LAI_V2;0.144516129
Budrio_campo_safe_half;09/01/2020;TERRASCOPE_S2_LAI_V2;0.108387097
Budrio_campo_safe_half;14/01/2020;TERRASCOPE_S2_LAI_V2;NaN
Budrio_campo_safe_half;19/01/2020;TERRASCOPE_S2_LAI_V2;NaN
