Date	Angle[°]	Geometry	Orb	Pass	VV[dB]	VH[dB]	VV_var[dB]	VH_var[dB]	VV_norm[dB]	VH_norm[dB]
2014-10-12 07:00:00	41.30544662475586	sanlorenzo1	95	DESCENDING	-9.80955629095962	-16.540009227103617	0.10830906979637757	0.021099264911846452	-9.80955629095962	-16.540009227103617
2014-10-13 19:00:00	35.611549377441406	sanlorenzo1	117	ASCENDING	-8.743309156649339	-15.07053896780127	0.13360108660022213	0.02277690665448425	-8.784278313491747	-14.472587400681633
2014-10-18 19:00:00	45.17488098144531	sanlorenzo1	15	ASCENDING	-11.141614420132989	-17.476037403607002	0.07247662212750632	0.0173201359257527	-9.757057727376113	-16.37053085393478
2014-10-24 07:00:00	41.307315826416016	sanlorenzo1	95	DESCENDING	-10.787716450077871	-17.62444848376039	0.060115487115190866	0.014650842564436486	-10.787716450077871	-17.62444848376039
2014-10-25 19:00:00	35.614376068115234	sanlorenzo1	117	ASCENDING	-10.543428696227737	-17.088852812534657	0.08943270616429856	0.016126055839254323	-10.478520632516581	-17.007844814514787
2014-10-30 18:00:00	45.178680419921875	sanlorenzo1	15	ASCENDING	-12.282254515945256	-18.943045422656123	0.06260444171410552	0.011187369401569749	-10.911721971499396	-18.24607390701789
2014-11-06 18:00:00	35.61689376831055	sanlorenzo1	117	ASCENDING	-9.159861021738507	-15.116278869027086	0.07825198804276781	0.02012850668547399	-9.17632994250083	-14.530042500637144
2014-11-11 18:00:00	45.17926788330078	sanlorenzo1	15	ASCENDING	-10.865192102180313	-17.715645476158144	0.07275165747632942	0.01917801975646436	-9.47723680227498	-16.676865413869372
2014-11-17 06:00:00	41.871559143066406	sanlorenzo1	95	DESCENDING	-9.618964350574354	-16.146783566869154	0.11530651401704857	0.019335303411746618	-9.618964350574354	-16.146783566869154
2014-11-29 06:00:00	41.871002197265625	sanlorenzo1	95	DESCENDING	-9.316553334248882	-16.097001070371306	0.11172836930673753	0.01918557367035562	-9.316553334248882	-16.097001070371306
2014-11-30 18:00:00	35.61570739746094	sanlorenzo1	117	ASCENDING	-9.382197276182161	-16.25397953841341	0.09967779920821603	0.01974449645592015	-9.38558909615689	-15.959138408744355
2014-12-05 18:00:00	45.177467346191406	sanlorenzo1	15	ASCENDING	-10.498407502303316	-17.370757542881453	0.07157533714541221	0.015191150933530396	-9.105942592709741	-16.235932468070917
2014-12-12 18:00:00	35.6147346496582	sanlorenzo1	117	ASCENDING	-9.520654220347925	-16.991465695171854	0.11831982001387792	0.020510941308170865	-9.51590244980419	-16.88551428006884
2014-12-23 06:00:00	41.87123107910156	sanlorenzo1	95	DESCENDING	-10.20875653037967	-17.756388192965975	0.09435043448286147	0.016192147613214046	-10.20875653037967	-17.756388192965975
2014-12-29 18:00:00	45.17854690551758	sanlorenzo1	15	ASCENDING	-12.097153030124929	-19.788380002608807	0.04650574709573291	0.00903721198294696	-10.724344666426997	-19.326818782556362
2015-01-04 06:00:00	41.864341735839844	sanlorenzo1	95	DESCENDING	-10.822202427925989	-17.99977919858325	0.07773171032929183	0.015292957959588717	-10.822202427925989	-17.99977919858325
2015-01-05 18:00:00	35.61792755126953	sanlorenzo1	117	ASCENDING	-11.435061131087105	-18.214476767944902	0.07134742482576678	0.016242172314339137	-11.317710125736404	-18.421770842713332
2015-01-17 18:00:00	35.6161003112793	sanlorenzo1	117	ASCENDING	-10.579954111553484	-16.876341006811476	0.07847452002037579	0.019637561604763352	-10.512897740816474	-16.740903113454443
2015-01-28 06:00:00	41.86669921875	sanlorenzo1	95	DESCENDING	-12.143400280080868	-21.20837378736319	0.05742831129248395	0.008607147633210393	-12.143400280080868	-21.20837378736319
2015-01-29 18:00:00	35.627681732177734	sanlorenzo1	117	ASCENDING	-6.3939290122449775	-15.701763855757111	0.17910902118119928	0.02073638666142934	-6.57308112541012	-15.26548568117549
2015-02-03 18:00:00	45.182029724121094	sanlorenzo1	15	ASCENDING	-11.51123510647234	-18.22141510571544	0.06962732838249182	0.01612201304521324	-10.131222893032888	-17.323482680345844
2015-02-09 06:00:00	41.8535041809082	sanlorenzo1	95	DESCENDING	-10.859164372015496	-19.53111332072798	0.07357703449086406	0.017698559684286203	-10.859164372015496	-19.53111332072798
2015-02-10 18:00:00	35.62700271606445	sanlorenzo1	117	ASCENDING	-10.81256119424556	-17.550229611898523	0.08616675303651208	0.01628873996060432	-10.731823625757496	-17.587392417683688
2015-02-15 18:00:00	45.18019104003906	sanlorenzo1	15	ASCENDING	-11.60141263609538	-17.926804620534888	0.05741579999294664	0.013608396161248905	-10.222509153669678	-16.94682853689816
2015-02-21 06:00:00	41.85350799560547	sanlorenzo1	95	DESCENDING	-10.959520246376663	-19.40859919375232	0.07527689641040296	0.014225975097946037	-10.959520246376663	-19.40859919375232
2015-02-22 18:00:00	35.62801742553711	sanlorenzo1	117	ASCENDING	-10.228321729856534	-16.864051732227	0.09212621923059758	0.021489201196481723	-10.181947240745798	-16.72546623054239
2015-02-27 18:00:00	45.175445556640625	sanlorenzo1	15	ASCENDING	-11.575496360260633	-19.026836001543977	0.06634266193038231	0.009711573662936982	-10.196274237715835	-18.35319863715317
2015-03-05 06:00:00	41.852508544921875	sanlorenzo1	95	DESCENDING	-9.877481986890846	-17.31941801667031	0.10095404325894156	0.017633678535548966	-9.877481986890846	-17.31941801667031
2015-03-06 18:00:00	35.62632369995117	sanlorenzo1	117	ASCENDING	-10.25467137555932	-17.75061863135354	0.07949605345208795	0.0182844494722061	-10.20674708534469	-17.83910636621046
2015-03-11 18:00:00	45.176795959472656	sanlorenzo1	15	ASCENDING	-12.392577537251748	-19.250241196801664	0.06441426624752714	0.011407575735320358	-11.023401412257215	-18.63881811335741
2015-03-17 06:00:00	41.85456085205078	sanlorenzo1	95	DESCENDING	-9.91114275091967	-16.662298492760847	0.1029266782962202	0.021148169762362848	-9.91114275091967	-16.662298492760847
2015-03-18 18:00:00	35.627811431884766	sanlorenzo1	117	ASCENDING	-10.6340372312985	-17.307762548008508	0.07662835569969652	0.016454346543353243	-10.563799866037755	-17.28282312438891
2015-03-22 06:00:00	31.42929327237352	sanlorenzo1	168	DESCENDING	-8.954988616075136	-16.38508869115247	0.1092719806351222	0.019154225796999984	-10.341393462544422	-17.362120240082064
2015-03-23 18:00:00	44.70988845825195	sanlorenzo1	15	ASCENDING	-11.5877201872528	-18.19967599515975	0.08663803312746138	0.018809291857665937	-10.208648356428673	-17.295689623148135
