Ora, UT10, UT30, UT50,min,max,
18.05.2021 17:47,13.3,28,66,0,101.1,UT10= umidità del suolo a 10 cm di profondità
18.05.2021 18:47,13.1,27.9,66,,,UT30= umidità del suolo a 30 cm di profondità
18.05.2021 19:47,13.1,27.5,60.8,,,UT50= umidità del suolo a 50 cm di profondità
18.05.2021 20:47,13,27.4,61,,,
18.05.2021 21:47,12.8,27.4,61.3,,,
18.05.2021 22:47,12.8,27.4,61.4,,,
18.05.2021 23:47,12.7,27.4,61.4,,,
19.05.2021 00:47,12.8,27.3,60.7,,,
19.05.2021 01:47,12.8,27.3,61.1,,,
19.05.2021 02:47,12.8,27.3,61,,,
19.05.2021 03:47,14.8,27.3,61.1,,,
19.05.2021 04:47,14.6,27.3,60.8,,,
19.05.2021 05:47,14.7,27.3,61.6,,,
19.05.2021 06:47,15.5,27.4,61.8,,,
19.05.2021 07:47,17.1,27.6,67.4,,,
19.05.2021 08:47,18.8,27.3,61.4,,,
19.05.2021 09:47,18.8,27.6,66.7,,,
19.05.2021 10:47,19.2,27.5,65.1,,,
19.05.2021 11:47,19.3,27.5,64.4,,,
19.05.2021 12:47,19.4,27.5,64.4,,,
19.05.2021 13:47,19.6,27.5,64.4,,,
19.05.2021 14:47,20,27.5,65.9,,,
19.05.2021 15:47,20.1,27.4,67.2,,,
19.05.2021 16:47,19.8,27.4,67.5,,,
19.05.2021 17:47,19.7,27.4,67.4,,,
19.05.2021 18:47,19.7,27.4,67.4,,,
19.05.2021 19:47,19.9,27.2,61.4,,,
19.05.2021 20:47,19.9,27.2,61.6,,,
19.05.2021 21:47,22.8,27.3,61.8,,,
19.05.2021 22:47,23,27.4,62,,,
19.05.2021 23:47,23,27.3,61.7,,,
20.05.2021 00:47,23,27.3,61.3,,,
20.05.2021 01:47,23,27.3,60.8,,,
20.05.2021 02:47,22.9,27.2,60.5,,,
20.05.2021 03:47,22.9,27.2,60.3,,,
20.05.2021 04:47,22.9,27.2,60.3,,,
20.05.2021 05:47,22.9,27.2,60.2,,,
20.05.2021 06:47,21.9,27.5,65.3,,,
20.05.2021 07:47,21.6,27.5,65.2,,,
20.05.2021 08:47,21.3,27.4,65.5,,,
20.05.2021 09:47,21.4,27.5,65.2,,,
20.05.2021 10:47,21.6,27.5,65.6,,,
20.05.2021 11:47,21.8,27.5,65.7,,,
20.05.2021 12:47,22.1,27.4,65.9,,,
20.05.2021 13:47,21.9,27.4,66.1,,,
